trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 0.9999500004166653}",20,0,-93.86334424997389,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.75, 'e': 0.9998000066665778}",20,0,-46.510367759288016,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.75, 'e': 0.9995500337489875}",25,0,-136.32336828130428,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.75, 'e': 0.9992001066609779}",20,0,-147.196949018826,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.75, 'e': 0.9987502603949663}",20,0,-107.06935693644112,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.75, 'e': 0.9982005399352042}",25,0,-143.00185094525858,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
7,False,"{'a': 0.75, 'e': 0.9975510002532796}",25,0,-253.28877014927414,"{0: 7, 1: 6, 2: 7, 3: 2, 4: 3}",0
8,False,"{'a': 0.75, 'e': 0.9968017063026194}",30,0,-167.07768097406273,"{0: 16, 1: 4, 2: 8, 3: 0, 4: 2}",0
9,False,"{'a': 0.75, 'e': 0.9959527330119943}",30,0,-281.0901258590735,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 5}",0
10,False,"{'a': 0.75, 'e': 0.9950041652780258}",25,0,-110.81203298117931,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.75, 'e': 0.9939560979566968}",25,2,-150.73401774175534,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 3}",1
12,False,"{'a': 0.75, 'e': 0.9928086358538663}",25,0,-114.81021118129645,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
13,False,"{'a': 0.75, 'e': 0.9915618937147881}",25,0,-140.43570732198842,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 1}",0
14,False,"{'a': 0.75, 'e': 0.9902159962126371}",20,6,-85.53492143730423,"{0: 8, 1: 2, 2: 1, 3: 2, 4: 1}",1
15,False,"{'a': 0.75, 'e': 0.9887710779360422}",25,0,-69.2477933435089,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 0.75, 'e': 0.9872272833756269}",30,0,-135.26638108175814,"{0: 20, 1: 4, 2: 2, 3: 2, 4: 2}",0
17,False,"{'a': 0.75, 'e': 0.9855847669095608}",30,0,-96.43984153410452,"{0: 19, 1: 5, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.75, 'e': 0.9838436927881214}",20,0,-82.09616258074293,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
19,False,"{'a': 0.75, 'e': 0.9820042351172703}",20,0,-68.64212230804088,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
20,False,"{'a': 0.75, 'e': 0.9800665778412416}",25,0,-248.90677865404362,"{0: 12, 1: 6, 2: 1, 3: 1, 4: 5}",0
21,False,"{'a': 0.75, 'e': 0.9780309147241483}",30,0,-95.6148833163722,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
22,False,"{'a': 0.75, 'e': 0.9758974493306055}",20,0,-191.59967653543558,"{0: 8, 1: 2, 2: 7, 3: 0, 4: 3}",0
23,False,"{'a': 0.75, 'e': 0.9736663950053749}",20,2,-47.86274758058424,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 0}",1
24,False,"{'a': 0.75, 'e': 0.9713379748520296}",25,2,-91.51021098517853,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 0}",1
25,False,"{'a': 0.75, 'e': 0.9689124217106447}",20,0,-158.03690114642868,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
26,False,"{'a': 0.75, 'e': 0.9663899781345132}",20,0,-114.16129783584235,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
27,False,"{'a': 0.75, 'e': 0.9637708963658905}",25,0,-35.98152219330296,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
28,False,"{'a': 0.75, 'e': 0.9610554383107709}",25,0,-157.65502452114887,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
29,False,"{'a': 0.75, 'e': 0.9582438755126972}",20,0,-122.39342479134623,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
30,False,"{'a': 0.75, 'e': 0.955336489125606}",25,18,-19.7086669969951,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
31,False,"{'a': 0.75, 'e': 0.9523335698857134}",30,0,-116.20601002493213,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
32,False,"{'a': 0.75, 'e': 0.9492354180824408}",25,0,-110.75778112976165,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
33,False,"{'a': 0.75, 'e': 0.946042343528387}",20,0,-197.59344733972978,"{0: 9, 1: 0, 2: 5, 3: 4, 4: 2}",0
34,False,"{'a': 0.75, 'e': 0.9427546655283462}",20,0,-153.62520681470764,"{0: 11, 1: 4, 2: 1, 3: 1, 4: 3}",0
35,False,"{'a': 0.75, 'e': 0.9393727128473789}",20,0,-46.53510287619828,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
36,False,"{'a': 0.75, 'e': 0.9358968236779348}",25,0,-95.37575662309823,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
37,False,"{'a': 0.75, 'e': 0.9323273456060345}",20,0,-73.57394219654705,"{0: 11, 1: 5, 2: 2, 3: 2, 4: 0}",0
38,False,"{'a': 0.75, 'e': 0.9286646355765102}",20,0,-75.02389542570674,"{0: 13, 1: 2, 2: 2, 3: 3, 4: 0}",0
39,False,"{'a': 0.75, 'e': 0.9249090598573131}",35,13,-95.57713008286154,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 1}",1
40,False,"{'a': 0.75, 'e': 0.9210609940028851}",20,0,-170.23611667715429,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",0
41,False,"{'a': 0.75, 'e': 0.9171208228166051}",20,0,-15.105507788689241,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
42,False,"{'a': 0.75, 'e': 0.9130889403123083}",30,13,-7.487191498992841,"{0: 12, 1: 5, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.75, 'e': 0.9089657496748851}",20,13,1.3614564766600792,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.75, 'e': 0.9047516632199634}",25,0,-87.9754874860534,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
45,False,"{'a': 0.75, 'e': 0.9004471023526769}",20,10,-27.734513383313658,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
46,False,"{'a': 0.75, 'e': 0.8960524975255252}",30,0,-130.09675565129703,"{0: 14, 1: 6, 2: 8, 3: 2, 4: 0}",0
47,False,"{'a': 0.75, 'e': 0.891568288195329}",30,0,-132.2206451505037,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
48,False,"{'a': 0.75, 'e': 0.8869949227792842}",20,0,-119.2558141552334,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
49,False,"{'a': 0.75, 'e': 0.8823328586101215}",20,9,-80.82410722391288,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 2}",1
50,False,"{'a': 0.75, 'e': 0.8775825618903728}",25,0,-198.2175562181419,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",0
51,False,"{'a': 0.75, 'e': 0.8727445076457513}",20,0,-110.13472781473105,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
52,False,"{'a': 0.75, 'e': 0.8678191796776499}",20,0,-104.76356986446255,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
53,False,"{'a': 0.75, 'e': 0.862807070514761}",30,0,-157.92152506741508,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
54,False,"{'a': 0.75, 'e': 0.8577086813638242}",25,0,-110.6970929419026,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
55,False,"{'a': 0.75, 'e': 0.8525245220595057}",20,0,-104.10504515086782,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
56,False,"{'a': 0.75, 'e': 0.8472551110134161}",20,0,-106.42570914713704,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
57,False,"{'a': 0.75, 'e': 0.8419009751622687}",20,4,-73.20094497679429,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 1}",1
58,False,"{'a': 0.75, 'e': 0.8364626499151869}",30,0,-130.3350316818964,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
59,False,"{'a': 0.75, 'e': 0.8309406791001636}",20,5,-76.28716957401119,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 1}",1
60,False,"{'a': 0.75, 'e': 0.8253356149096783}",25,0,-171.44716244278078,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
61,False,"{'a': 0.75, 'e': 0.8196480178454795}",20,0,-47.202493096901996,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
62,False,"{'a': 0.75, 'e': 0.8138784566625339}",30,0,-131.40184289746776,"{0: 16, 1: 5, 2: 8, 3: 0, 4: 1}",0
63,False,"{'a': 0.75, 'e': 0.8080275083121519}",25,0,-103.89853527130138,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
64,False,"{'a': 0.75, 'e': 0.8020957578842925}",20,0,-162.82649469165543,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 4}",0
