trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-118.08247695150945,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-240.10178830097487,"{0: 13, 1: 1, 2: 5, 3: 2, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.62115246495195,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-40.05347440094548,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.75873738768195,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-97.97639264751842,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.63832284013236,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.90146215376059,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.57870684428399,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.64393402270784,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-89.8196777442547,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.64101840214421,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-182.87788483494595,"{0: 11, 1: 2, 2: 1, 3: 3, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-166.65759150781423,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.07526888735941,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-202.3815279672306,"{0: 13, 1: 9, 2: 5, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.50305270725859,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-92.0569490236261,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.7290833641738,"{0: 12, 1: 1, 2: 11, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,11,-30.65986620836546,"{0: 5, 1: 0, 2: 4, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-128.31773829520074,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-84.24096204734307,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-106.00106178483347,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-201.7274247597666,"{0: 16, 1: 5, 2: 5, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",35,0,-105.41130949855514,"{0: 26, 1: 3, 2: 4, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-144.55381014027074,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-60.614764938076036,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-118.73404544062318,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-209.83506270590675,"{0: 8, 1: 1, 2: 5, 3: 4, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-225.79758878481758,"{0: 16, 1: 2, 2: 7, 3: 2, 4: 3}",0
